id,band_gap
mp-17464,3.6032
mp-18082,0
mp-17922,5.5021
mp-18629,3.6329
mp-19153,1.24249999999999
mp-18317,0.940599999999999
mp-19276,4.0973
mp-19937,0
mp-20193,0
mp-20,0
mp-20594,0
mp-20897,0
mp-22024,2.9747
mp-22320,0
mp-22632,0
mp-22906,4.7786
mp-2296,0
mp-23062,0
mp-23257,4.6815
mp-24113,5.1263
mp-24971,0.175899999999999
mp-26630,2.7356
mp-25446,4.0121
mp-27303,0.7541
mp-27693,0
mp-28587,4.8099
mp-28961,0.0343
mp-29063,5.6768
mp-29167,0
mp-29424,0.585399999999999
mp-29432,3.8173
mp-30792,0
mp-30951,0.190199999999999
mp-31136,0
mp-2994,0.441399999999999
mp-31452,0
mp-3592,1.8049
mp-3931,0
mp-505306,0
mp-34439,2.61329999999999
mp-5372,0
mp-540582,0
mp-530617,0.0321
mp-540742,5.2239
mp-540999,0
mp-541201,0.0521
mp-541136,0
mp-541464,1.0548
mp-541849,0
mp-542084,3.65419999999999
mp-542860,0
mp-555396,5.0411
mp-541947,1.3674
mp-556292,3.99399999999999
mp-556400,2.0494
mp-556109,0.0226
mp-557203,3.3637
mp-557362,5.5478
mp-557756,4.676
mp-558435,0
mp-558082,0.298799999999999
mp-558713,4.7093
mp-558558,3.94569999999999
mp-560115,2.2622
mp-558834,0.8801
mp-567246,2.4177
mp-560724,2.1944
mp-567621,0
mp-567852,0
mp-567950,0
mp-567768,0
mp-568333,1.3658
mp-570632,0
mp-569814,2.84239999999999
mp-570836,0.952
mp-570965,0.0992
mp-571102,2.43609999999999
mp-571616,2.45669999999999
mp-5765,0
mp-581324,2.8485
mp-605302,4.2831
mp-619510,2.008
mp-631362,0
mp-620058,2.2879
mp-643896,4.403
mp-6610,4.1667
mp-662609,0
mp-662583,0.2519
mp-667803,0
mp-667343,1.10429999999999
mp-676725,2.0609
mp-6783,5.5381
mp-677474,0.01
mp-680226,3.0273
mp-680343,0
mp-680326,3.2771
mp-685369,1.1263
mp-684997,0
mp-685386,0
mp-685809,0
mp-690979,3.2456
mp-697108,3.8568
mp-704462,0
mp-705430,0
mp-705887,2.2411
mp-706528,1.4969
mp-707973,0.8007
mp-708969,1.7153
mp-720825,4.99489999999999
mp-686354,0
mp-7424,0
mp-7496,0
mp-752679,3.3635
mp-752726,2.7472
mp-752970,0.2907
mp-755260,2.6868
mp-755466,0
mp-755654,0.2839
mp-755696,0
mp-756112,0
mp-756363,1.1452
mp-756427,1.3595
mp-756896,0.9377
mp-757167,3.0839
mp-758865,4.3487
mp-758875,1.63409999999999
mp-758916,4.13069999999999
mp-759009,0.969199999999999
mp-759018,0.498899999999999
mp-759236,0.2808
mp-759676,0
mp-760072,0
mp-760303,0
mp-760122,0
mp-760784,0
mp-761229,1.4596
mp-761075,4.5278
mp-766133,2.7499
mp-766367,0
mp-767617,2.3555
mp-768103,1.9214
mp-769032,1.4086
mp-766660,1.6243
mp-769457,0
mp-770692,2.44449999999999
mp-771129,1.87339999999999
mp-770786,0.0214
mp-772177,0
mp-774637,0.1352
mp-774933,1.76949999999999
mp-774362,2.6097
mp-774950,0.7871
mp-776118,0
mp-776271,1.7706
mp-777765,0
mp-778198,2.9945
mp-780107,1.5433
mp-780193,2.5296
mp-780556,0
mp-777731,3.8412
mp-780658,0.0254
mp-780808,0
mp-850187,0
mp-864940,0
mp-862288,0
mp-865438,0
mp-865232,0
mp-865991,0
mp-867289,0
mp-867736,0
mp-9487,0
mp-961676,0
mp-962063,0
mp-972522,0
mp-976010,0
mp-976155,0
mp-978292,0
mp-979412,0
mp-979713,0
mp-8966,1.34809999999999
mp-980384,0
mp-983608,0
mp-9889,1.9484
mp-985610,1.7237
mvc-11229,0.8102
mp-999542,0
mvc-13890,0
mvc-12176,0
mvc-5013,0.2639
mvc-14766,0
mp-10014,0
mp-1002122,0
mp-1008925,0
mp-1014264,0
mp-1018664,2.1576
mp-1018675,0
mp-1019086,4.7919
mvc-6039,1.6303
mp-1025410,0
mp-1019725,5.5395
mp-1027801,0.311899999999999
mp-1029179,0.580699999999999
mp-1029466,0
mp-1030700,0.9864
mp-1036730,0.5588
mp-1056,3.912
mp-1057015,1.03719999999999
mp-1073115,0
mp-1059256,0
mp-1075091,0
mp-1073739,0
mp-1078435,0
mp-1079070,0
mp-1075191,0
mp-1079447,0.7709
mp-1079195,0
mp-1079666,0.390299999999999
mp-1084800,0
mp-10887,0
mp-1094614,0
mp-1095340,0.0063
mp-1095507,1.2712
mp-1094105,1.69099999999999
mp-1095730,0
mp-1096613,0.0051
mp-1097472,0.0935
mp-1097547,0
mp-1100751,0
mp-11010,0.163299999999999
mp-1101237,0.768199999999999
mp-1102705,0
mp-1102558,0
mp-1104,0
mp-1104505,0.0056
mp-1104177,0
mp-1106184,0
mp-11073,0
mp-1106085,0
mp-1112408,0
mp-1112721,5.0057
mp-1113355,2.2451
mp-11538,0
mp-11690,0
mp-1113576,0
mp-1174718,0.412399999999999
mp-1174316,0.1779
mp-1175060,0
mp-1174956,1.43929999999999
mp-1176070,0.0699
mp-1177171,0.299299999999999
mp-1177993,0.6735
mp-1177973,0.0529
mp-1178365,1.5474
mp-1178773,0
mp-1178298,0
mp-1179340,3.5831
mp-1179562,1.8814
mp-1181103,0
mp-1182082,0.2516
mp-1181758,0.0018
mp-1183338,0
mp-1183661,0
